path,run_id,window_s
revoke,20260907_203258,12.266028
revoke,20260907_203333,11.871487
revoke,20260907_203408,14.938261
revoke,20260907_203446,13.917705
revoke,20260907_203522,14.949673
grant,grant_20260907_204430,16.287240
grant,grant_20260907_204500,13.631087
grant,grant_20260907_204526,15.274115
grant,grant_20260907_204553,20.157906
grant,grant_20260907_204626,14.113037
