DOC_REGISTERED|2026-09-07 20:45:36.228194+00
RELEASE_DECISION|2026-09-07 20:45:36.898068+00
ACCESS_DENIED|2026-09-07 20:45:36.90034+00
ACCESS_GRANTED|2026-09-07 20:45:37.306509+00
RELEASE_DECISION|2026-09-07 20:45:37.35925+00
ACCESS_DENIED|2026-09-07 20:45:37.361513+00
RELEASE_DECISION|2026-09-07 20:45:37.383715+00
ACCESS_DENIED|2026-09-07 20:45:37.386067+00
ACCESS_GRANTED_LEDGER_SYNCED|2026-09-07 20:45:52.582138+00
RELEASE_DECISION|2026-09-07 20:45:53.314111+00
DOC_VIEWED|2026-09-07 20:45:53.322602+00
