DOC_REGISTERED|2026-09-07 20:47:02.327182+00
RELEASE_DECISION|2026-09-07 20:47:03.151474+00
ACCESS_DENIED|2026-09-07 20:47:03.153532+00
ACCESS_GRANTED|2026-09-07 20:47:03.577552+00
ACCESS_REVOKED|2026-09-07 20:47:05.654621+00
RELEASE_DECISION|2026-09-07 20:47:05.699253+00
ACCESS_DENIED|2026-09-07 20:47:05.701563+00
RELEASE_DECISION|2026-09-07 20:47:05.74092+00
ACCESS_DENIED|2026-09-07 20:47:05.744965+00
ACCESS_GRANTED_LEDGER_SYNCED|2026-09-07 20:47:18.845431+00
ACCESS_REVOKED_LEDGER_SYNCED|2026-09-07 20:47:20.906949+00
RELEASE_DECISION|2026-09-07 20:47:22.048104+00
ACCESS_DENIED|2026-09-07 20:47:22.055694+00
