DOC_REGISTERED|2026-09-07 20:46:03.19283+00
RELEASE_DECISION|2026-09-07 20:46:04.020866+00
ACCESS_DENIED|2026-09-07 20:46:04.023047+00
ACCESS_GRANTED|2026-09-07 20:46:04.470243+00
RELEASE_DECISION|2026-09-07 20:46:04.533254+00
ACCESS_DENIED|2026-09-07 20:46:04.53564+00
RELEASE_DECISION|2026-09-07 20:46:04.570673+00
ACCESS_DENIED|2026-09-07 20:46:04.57341+00
ACCESS_GRANTED_LEDGER_SYNCED|2026-09-07 20:46:24.629733+00
RELEASE_DECISION|2026-09-07 20:46:26.12066+00
DOC_VIEWED|2026-09-07 20:46:26.12368+00
