DOC_REGISTERED|2026-09-07 20:44:40.683825+00
RELEASE_DECISION|2026-09-07 20:44:41.643516+00
ACCESS_DENIED|2026-09-07 20:44:41.646395+00
ACCESS_GRANTED|2026-09-07 20:44:42.08859+00
RELEASE_DECISION|2026-09-07 20:44:42.152418+00
ACCESS_DENIED|2026-09-07 20:44:42.15532+00
RELEASE_DECISION|2026-09-07 20:44:42.181171+00
ACCESS_DENIED|2026-09-07 20:44:42.18543+00
ACCESS_GRANTED_LEDGER_SYNCED|2026-09-07 20:44:58.37765+00
RELEASE_DECISION|2026-09-07 20:45:00.583846+00
DOC_VIEWED|2026-09-07 20:45:00.59101+00
