DOC_REGISTERED|2026-09-07 20:45:10.584198+00
RELEASE_DECISION|2026-09-07 20:45:11.407236+00
ACCESS_DENIED|2026-09-07 20:45:11.409579+00
ACCESS_GRANTED|2026-09-07 20:45:11.845131+00
RELEASE_DECISION|2026-09-07 20:45:11.904385+00
ACCESS_DENIED|2026-09-07 20:45:11.906661+00
RELEASE_DECISION|2026-09-07 20:45:11.930698+00
ACCESS_DENIED|2026-09-07 20:45:11.934435+00
ACCESS_GRANTED_LEDGER_SYNCED|2026-09-07 20:45:25.477524+00
RELEASE_DECISION|2026-09-07 20:45:26.370168+00
DOC_VIEWED|2026-09-07 20:45:26.377786+00
